"nom de l'enseigne";"date de l'export";"code de l'article";"libellé de l'article";"référence de la marque";"code EAN";"nom de la marque";"prix net HT du client dans l'agence";"prix public HT";"total ecocontribution HT";"disponibilité";"unité de vente (par m², ...)";"libellé unité de vente (par m², ...)";"conditionnement (par m², ...)";"libellé conditionnement (par m², ...)";"code nomenclature niv. 1";"libellé nomenclature niv. 1";"code nomenclature niv. 2";"libellé nomenclature niv. 2";"code nomenclature niv. 3";"libellé nomenclature niv. 3";"code nomenclature niv. 4";"libellé nomenclature niv. 4";"code nomenclature niv. 5";"libellé nomenclature niv. 5"
"dispano";"20211005";"1849021";"Contreplaqué résineux Tebopin Solid âme et faces Pin Maritime III+/III collage CL3 certif CTB-X usage ext. et milieu humide 250x125cm 9mm";"5225012509004";"";"THEBAULT SIB";"8.75";"10.92";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1849042";"Contreplaqué résineux Tebopin 2 Rainuré Profil U âme et faces pin maritime II/III profil U collage CL3 certif CTB-X usage ext. et milieu humide 250x61,5cm 11mm";"5425061511003";"";"THEBAULT SIB";"16.60";"19.63";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1987366";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 300x150 cm 30mm";"050100632";"";"GARNICA";"31.40";"39.2";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7394969";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 250x125 cm 45mm";"50100113";"";"GARNICA";"44.16";"55.13";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7394968";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 250x125 cm 35mm";"50100307";"";"GARNICA";"32.44";"40.5";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"7394957";"Contreplaqué résineux Laudio déco âme et faces Pin Radiata européen I/III collage CL3 usage ext. et milieu humide 250X125cm 10mm";"460100017";"";"GARNICA";"10.69";"13.35";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1849036";"Contreplaqué résineux Tebopin 3 âme et faces Pin Maritime III/III collage CL3 certif CTB-X usage ext. et milieu humide 250x125cm 25mm";"5325012525001";"";"THEBAULT SIB";"20.33";"25.38";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1934415";"Contreplaqué résineux Laudio pine âme et faces Pin Radiata européen II/III collage CL3 usage ext. et milieu humide 250x125 cm 18 mm";"050100009";"";"GARNICA";"13.79";"17.22";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1526831";"Contreplaqué pin elliotis du Brésil qualité C+/C extérieur collage WBP 250x125cm 9mm";"";"";"CIBM (CENTRE IMPORT BOIS)";"8.09";"10.11";"0";"EN STOCK";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"3084369";"Contreplaqué résineux Tebopin Elite âme et faces Pin Maritime I/II collage CL3 certif CTB-X usage ext. et milieu humide 250x125cm 12mm";"5125012512003";"";"THEBAULT SIB";"14.21";"17.74";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
"dispano";"20211005";"1849040";"Contreplaqué résineux Tebopin 1 Rainuré Profil U âme et faces Pin Maritime I/III profil U collage CL3 certif CTB-X usage ext. et milieu humide 250x123,5cm 11mm";"54250123511001";"";"THEBAULT SIB";"14.22";"16.8";"0";"SUR COMMANDE";"M2";"Mètre carré";"PN";"Panneau plaque";"SNV1_DIG_2017366";"Panneaux bruts";"VISU_DIG_ONV2_2027931";"Contreplaqués";"";"";"";"";"";""
